feature,abs_mean_shap
arable_prop,0.24993234047819476
rock1_mean,0.23624304052247233
rip_veg_nat_prop,0.12835620568798578
k1_mean,0.1161012873723599
twi_mean,0.10633514068648396
limestone_prop,0.09481046684395035
k1_std,0.08390598712533827
livestock_density,0.07896133823887748
rip_veg_drain_prop,0.0726587633454361
sand1_std,0.06629749362347796
water_prop,0.0635337760399236
urban_prop,0.06192020416994534
wetland_prop,0.04709145752253106
pol_sen_drain_h_prop,0.04645712461969604
stream_density,0.04636265727579479
pol_sen_nat_h_prop,0.04229598466411355
awc1_max,0.03621035572807725
dem_std,0.03435900589849725
dem_min,0.0332280477872549
manure_dep_p,0.03275933432476798
forest_disturb_prop_buff_500,0.02842179580288456
forest_prop,0.027313679725105504
silt1_std,0.023589660321911034
awc1_mean,0.02223237666628107
slope_max,0.022079059518491772
other_prop,0.020998035481205518
tri_max,0.020523478669147367
awc1_min,0.019881735536330224
temp_mean,0.019716151065614636
area,0.017645561732108222
awc1_std,0.017111592867832183
temp_min,0.017043821492772164
soc1_mean,0.016582777500314377
soc1_max,0.016479712326471923
temp_max,0.015535915366562476
twi_max,0.015286480444459221
precip_mean,0.015046058061650078
snow_depth_mean,0.011990531951091897
bd1_min,0.010917272381154733
grassland_prop,0.010092100038952008
silt1_max,0.005887536082020254
tri_min,0.0035222836964334497
clay1_min,0.003259396403167262
slope_min,0.0027260662824976105
rock1_max,0.0004151398617415348
flowlength_min,0.0
rock1_min,0.0
