feature,abs_mean_shap
arable_prop,0.1830954195286399
rock1_mean,0.15429141486225778
k1_mean,0.11243116561403642
twi_mean,0.11215060476739767
rip_veg_nat_prop,0.10674602678811143
water_prop,0.09601995515443439
flowlength_mean,0.09535075595865525
silt1_mean,0.09481677280708332
rip_veg_drain_prop,0.08337571633752493
dem_mean,0.06693712058306445
urban_prop,0.06639306036232155
pol_sen_nat_h_prop,0.05888799884816402
soc1_mean,0.057920666800133025
stream_density,0.054169918016053954
forest_prop,0.053860189538920016
k1_std,0.04766360717983541
limestone_prop,0.04494705947715253
livestock_density,0.04467279187283882
pol_sen_nat_vh_prop,0.042986806619157394
sand1_std,0.03689327581050757
forest_disturb_prop_buff_1000,0.036106942191202245
tri_mean,0.033232375732994
wetland_prop,0.02994202328352069
twi_max,0.02522186181915096
temp_min,0.023678234801679725
manure_dep_p,0.02355910824633872
silt1_std,0.018080716967985883
awc1_max,0.017653732964270755
dem_min,0.01727660590040181
dem_max,0.017225010821891745
forest_disturb_prop_buff_100,0.016771734635242043
forest_disturb_prop_buff_500,0.01669060140609513
other_prop,0.01650375145340531
soc1_max,0.015849069186787676
area,0.015211665150553425
grassland_prop,0.01496267506549146
dem_std,0.014683533634397207
rock1_std,0.011550733077265486
awc1_min,0.011516256570264663
pol_sen_drain_vh_prop,0.01113101415878375
temp_max,0.010988381831077903
k1_min,0.010426538744798892
awc1_mean,0.01035089688834113
bd1_min,0.00969828647711444
precip_mean,0.009498225489923252
flowlength_max,0.0093178929953102
slope_max,0.009099856377439472
twi_min,0.009080306231691183
temp_mean,0.008670186084293487
pol_sen_drain_h_prop,0.008432107704582591
snow_depth_mean,0.006962144600181275
awc1_std,0.004312046229932216
tri_max,0.004146849778995635
silt1_max,0.002366548373001595
clay1_min,0.0014317221485484408
slope_min,0.0007584161217177652
k1_max,0.0
sand1_min,0.0
tri_min,0.0
rock1_max,0.0
flowlength_min,0.0
rock1_min,0.0
