feature,abs_mean_shap
arable_prop,0.24019390715705383
k1_mean,0.1755571520627406
limestone_prop,0.1463152720315719
flowlength_mean,0.14338765383018268
rock1_mean,0.12488421853770804
water_prop,0.11754103134843205
rip_veg_nat_prop,0.09590064504435833
dem_min,0.08320479149175879
forest_prop,0.07065294175245525
twi_mean,0.05815653065535749
rip_veg_drain_prop,0.05711002598041657
sand1_std,0.05594117212578341
dem_mean,0.052746417685024555
pol_sen_nat_vh_prop,0.052664131952894475
manure_dep_p,0.05130958290078194
precip_mean,0.04782228525694013
dem_std,0.04075135577157305
livestock_density,0.0406009437983081
pol_sen_nat_h_prop,0.03840501684702026
urban_prop,0.038074410886013876
forest_disturb_prop_buff_500,0.03585438788589992
temp_max,0.03419857509381115
k1_std,0.03214230678640631
temp_min,0.031495238882950534
soc1_mean,0.02355768050160972
snow_depth_mean,0.023325376668838663
awc1_max,0.02286666508488577
twi_max,0.021697273466425387
awc1_min,0.021455354563635627
rock1_std,0.021401883488682303
bd1_min,0.02104227000521416
awc1_mean,0.01947813299052995
other_prop,0.018640877461800504
twi_min,0.018198728984511792
flowlength_max,0.01788518355897193
wetland_prop,0.017885137969580092
pol_sen_drain_h_prop,0.017498495083076875
silt1_std,0.016187579596598407
slope_max,0.016049951357650246
grassland_prop,0.014867166770642783
stream_density,0.014243243086613356
area,0.013442158524005989
tri_max,0.013423445678538337
tri_min,0.013061073134344035
temp_mean,0.011547810624252688
awc1_std,0.011509766484570144
soc1_max,0.010633122089692804
k1_min,0.006847856837424418
clay1_min,0.003750338277915655
k1_max,0.0023376211328257185
slope_min,0.0012469202261576366
rock1_max,0.0008123218615486702
silt1_max,0.0005889834136419082
flowlength_min,0.0
rock1_min,0.0
