site_code,obs_year,parameter,obs_value,arable_prop,arable_prop_buff_100,arable_prop_buff_1000,arable_prop_buff_500,area,awc1_min,awc1_max,awc1_mean,awc1_std,bd1_min,bd1_max,bd1_mean,bd1_std,clay1_min,clay1_max,clay1_mean,clay1_std,dem_min,dem_max,dem_mean,dem_std,flowlength_min,flowlength_max,flowlength_mean,flowlength_std,forest_disturb_prop_buff_100,forest_disturb_prop_buff_1000,forest_disturb_prop_buff_500,forest_prop,grassland_prop,k1_min,k1_max,k1_mean,k1_std,limestone_prop,livestock_density,manure_dep_n,manure_dep_p,other_prop,pol_sen_drain_h_prop,pol_sen_drain_vh_prop,pol_sen_nat_h_prop,pol_sen_nat_vh_prop,precip_mean,rip_veg_drain_prop,rip_veg_nat_prop,rock1_min,rock1_max,rock1_mean,rock1_std,sand1_min,sand1_max,sand1_mean,sand1_std,silt1_min,silt1_max,silt1_mean,silt1_std,slope_min,slope_max,slope_mean,slope_std,snow_depth_mean,soc1_min,soc1_max,soc1_mean,soc1_std,stream_density,temp_max,temp_mean,temp_min,tri_min,tri_max,tri_mean,tri_std,twi_min,twi_max,twi_mean,twi_std,urban_prop,water_prop,wetland_prop
SJA0301000,2020,TN,3.4,0.281,0.133,0.232,0.195,631515650.0,0.17,0.213,0.194,0.005,0.374,1.504,0.938,0.377,0.0,70.0,30.927,26.418,64.806,166.501,91.572,14.273,0.0,1298.641,44.148,74.333,0.006,0.004,0.005,0.601,0.03,3.67,645.68,19.0,35.135,0.994,0.059,21.856,10.126,0.016,0.006,0.0,0.005,0.0,757.503,0.6,0.767,0.0,85.0,2.837,5.492,15.0,100.0,50.536,27.695,0.0,50.0,18.537,10.004,0.0,39.757,1.136,1.613,0.686,0.921,34.431,11.99,11.181,0.001,28.731,7.789,-11.951,0.0,3.117,0.093,0.124,2.16,16.204,10.055,1.352,0.012,0.003,0.056
SJA0326004,2016,TN,1.175,0.304,0.218,0.319,0.302,332984600.0,0.0,0.207,0.19,0.005,0.0,1.499,1.166,0.317,0.0,70.0,16.796,19.477,72.509,212.452,128.658,24.654,0.0,782.014,46.377,51.363,0.011,0.006,0.008,0.52,0.066,0.0,645.68,55.464,53.48,0.0,0.093,22.856,10.429,0.021,0.099,0.008,0.106,0.019,880.892,0.46,0.628,0.0,85.0,2.534,7.871,0.0,100.0,71.358,24.548,0.0,50.0,11.845,8.314,0.0,47.093,3.007,3.112,3.353,0.954,35.037,6.408,8.612,0.001,29.674,6.215,-26.882,0.0,4.352,0.213,0.203,2.323,15.267,8.48,1.881,0.028,0.019,0.043
SJA0400000,2020,TN,1.325,0.093,0.122,0.1,0.11,37617350.0,0.177,0.199,0.19,0.004,0.408,1.442,0.935,0.285,0.0,70.0,19.343,20.498,2.477,55.193,31.613,6.633,0.0,505.482,21.601,26.221,0.001,0.001,0.002,0.413,0.188,5.09,645.68,71.26,136.843,0.956,0.0,18.212,8.07,0.117,0.016,0.0,0.007,0.0,815.553,0.626,0.607,0.0,85.0,13.939,20.174,15.0,100.0,65.275,25.85,0.0,30.0,15.382,10.024,0.001,57.977,1.62,2.984,0.316,1.394,30.755,10.253,8.912,0.001,27.653,8.386,-7.009,0.0,7.945,0.143,0.255,1.429,13.806,9.403,1.524,0.149,0.008,0.031
SJA0430000,2016,TN,3.86,0.296,0.156,0.26,0.218,738886400.0,0.17,0.213,0.195,0.005,0.374,1.504,0.964,0.372,0.0,70.0,29.768,25.714,43.577,166.501,87.981,16.454,0.0,1298.641,44.312,73.541,0.008,0.006,0.007,0.582,0.033,3.67,645.68,18.214,33.668,0.995,0.063,21.774,10.128,0.018,0.005,0.0,0.005,0.0,850.521,0.597,0.724,0.0,85.0,2.972,5.383,15.0,100.0,51.292,26.717,0.0,50.0,18.94,9.712,0.0,39.757,1.151,1.606,4.034,0.921,34.431,11.235,10.922,0.001,29.578,6.031,-26.111,0.0,3.415,0.095,0.124,2.01,16.204,10.032,1.36,0.017,0.005,0.05
SJA0430000,2017,TN,3.075,0.296,0.156,0.26,0.218,738886400.0,0.17,0.213,0.195,0.005,0.374,1.504,0.964,0.372,0.0,70.0,29.768,25.714,43.577,166.501,87.981,16.454,0.0,1298.641,44.312,73.541,0.005,0.006,0.007,0.582,0.033,3.67,645.68,18.214,33.668,0.995,0.063,15.583,6.859,0.018,0.005,0.0,0.005,0.0,807.754,0.597,0.724,0.0,85.0,2.972,5.383,15.0,100.0,51.292,26.717,0.0,50.0,18.94,9.712,0.0,39.757,1.151,1.606,1.978,0.921,34.431,11.235,10.922,0.001,28.065,5.915,-20.672,0.0,3.415,0.095,0.124,2.01,16.204,10.032,1.36,0.017,0.005,0.05
SJA0430000,2018,TN,2.698,0.296,0.156,0.26,0.218,738886400.0,0.17,0.213,0.195,0.005,0.374,1.504,0.964,0.372,0.0,70.0,29.768,25.714,43.577,166.501,87.981,16.454,0.0,1298.641,44.312,73.541,0.01,0.007,0.009,0.582,0.033,3.67,645.68,18.214,33.668,0.995,0.063,21.365,9.939,0.018,0.005,0.0,0.005,0.0,567.963,0.597,0.724,0.0,85.0,2.972,5.383,15.0,100.0,51.292,26.717,0.0,50.0,18.94,9.712,0.0,39.757,1.151,1.606,3.66,0.921,34.431,11.235,10.922,0.001,29.973,6.783,-23.811,0.0,3.415,0.095,0.124,2.01,16.204,10.032,1.36,0.017,0.005,0.05
SJA0430000,2019,TN,2.75,0.296,0.156,0.26,0.218,738886400.0,0.17,0.213,0.195,0.005,0.374,1.504,0.964,0.372,0.0,70.0,29.768,25.714,43.577,166.501,87.981,16.454,0.0,1298.641,44.312,73.541,0.014,0.009,0.011,0.582,0.033,3.67,645.68,18.214,33.668,0.995,0.063,21.762,10.116,0.018,0.005,0.0,0.005,0.0,720.462,0.597,0.724,0.0,85.0,2.972,5.383,15.0,100.0,51.292,26.717,0.0,50.0,18.94,9.712,0.0,39.757,1.151,1.606,7.679,0.921,34.431,11.235,10.922,0.001,29.768,6.916,-19.638,0.0,3.415,0.095,0.124,2.01,16.204,10.032,1.36,0.017,0.005,0.05
SJA0430000,2020,TN,4.35,0.296,0.156,0.26,0.218,738886400.0,0.17,0.213,0.195,0.005,0.374,1.504,0.964,0.372,0.0,70.0,29.768,25.714,43.577,166.501,87.981,16.454,0.0,1298.641,44.312,73.541,0.006,0.004,0.006,0.582,0.033,3.67,645.68,18.214,33.668,0.995,0.063,21.744,10.103,0.018,0.005,0.0,0.005,0.0,755.966,0.597,0.724,0.0,85.0,2.972,5.383,15.0,100.0,51.292,26.717,0.0,50.0,18.94,9.712,0.0,39.757,1.151,1.606,0.671,0.921,34.431,11.235,10.922,0.001,29.142,7.819,-15.656,0.0,3.415,0.095,0.124,2.01,16.204,10.032,1.36,0.017,0.005,0.05
SJA0451000,2020,TN,3.05,0.227,0.142,0.207,0.187,1210862825.0,0.164,0.213,0.193,0.007,0.371,1.492,0.968,0.387,0.0,70.0,28.022,25.545,31.283,142.113,76.846,17.232,0.0,669.315,29.363,38.61,0.005,0.005,0.006,0.576,0.04,3.67,645.68,45.514,57.682,0.824,0.065,23.688,10.905,0.021,0.004,0.0,0.014,0.001,833.123,0.538,0.696,0.0,85.0,3.95,9.515,15.0,100.0,56.929,29.611,0.0,50.0,15.049,8.132,0.0,44.194,1.298,2.027,0.562,1.007,34.786,11.479,11.278,0.0,28.792,7.764,-15.347,0.0,4.375,0.105,0.146,1.464,15.329,9.751,1.512,0.017,0.009,0.11
SJA0561000,2017,TN,4.0,0.404,0.177,0.291,0.253,226442825.0,0.177,0.21,0.195,0.004,0.405,1.441,0.99,0.365,5.0,70.0,30.177,22.91,55.026,97.114,68.526,6.268,0.0,507.955,34.657,44.885,0.016,0.008,0.011,0.483,0.04,3.67,133.21,9.325,4.367,1.0,0.13,32.332,15.41,0.013,0.01,0.0,0.006,0.0,845.871,0.483,0.712,0.0,85.0,3.392,5.697,15.0,90.0,45.707,19.181,3.0,50.0,24.116,7.064,0.0,40.641,0.816,1.027,1.75,1.408,31.048,10.436,10.465,0.0,27.361,5.983,-18.143,0.0,3.451,0.071,0.093,2.137,15.134,10.352,1.205,0.015,0.002,0.042
