obs_id,site_code,obs_year,obs_value,arable_prop,area,clay1_mean,forest_prop,grassland_prop,k1_mean,limestone_prop,livestock_density,other_prop,precip_mean,rock1_mean,sand1_mean,silt1_mean,slope_mean,soc1_mean,stream_density,twi_mean,urban_prop,water_prop,wetland_prop
181,SJA4377000,2019,1.418,0.283,576520875.0,20.595,0.523,0.047,48.618,0.0,0.052,0.027,762.766,3.449,66.743,12.662,1.967,8.052,0.001,9.031,0.021,0.015,0.064
182,SJA4377000,2020,1.45,0.283,576520875.0,20.595,0.523,0.047,48.618,0.0,0.052,0.027,788.65,3.449,66.743,12.662,1.967,8.052,0.001,9.031,0.021,0.015,0.064
183,SJA4411000,2017,0.86,0.0,39453775.0,50.163,0.081,0.008,5.837,1.0,0.0,0.0,852.479,0.161,25.571,24.267,0.451,26.902,0.0,10.032,0.0,0.034,0.877
184,SJA4483000,2016,2.573,0.269,2644413600.0,27.336,0.55,0.045,23.178,0.855,0.084,0.012,767.84,3.661,51.768,20.896,0.9,9.828,0.0,9.824,0.017,0.005,0.101
185,SJA4483000,2017,2.244,0.269,2644413600.0,27.336,0.55,0.045,23.178,0.855,0.084,0.012,873.016,3.661,51.768,20.896,0.9,9.828,0.0,9.824,0.017,0.005,0.101
186,SJA4483000,2018,1.979,0.269,2644413600.0,27.336,0.55,0.045,23.178,0.855,0.084,0.012,582.319,3.661,51.768,20.896,0.9,9.828,0.0,9.824,0.017,0.005,0.101
187,SJA4483000,2019,2.458,0.269,2644413600.0,27.336,0.55,0.045,23.178,0.855,0.084,0.012,857.816,3.661,51.768,20.896,0.9,9.828,0.0,9.824,0.017,0.005,0.101
188,SJA4483000,2020,2.35,0.269,2644413600.0,27.336,0.55,0.045,23.178,0.855,0.084,0.012,881.446,3.661,51.768,20.896,0.9,9.828,0.0,9.824,0.017,0.005,0.101
189,SJA4484000,2016,2.267,0.33,443093075.0,22.415,0.522,0.048,24.9,0.022,0.054,0.016,810.267,2.873,59.431,18.154,1.54,7.9,0.001,9.46,0.021,0.007,0.057
190,SJA4484000,2017,1.692,0.33,443093075.0,22.415,0.522,0.048,24.9,0.022,0.054,0.016,839.483,2.873,59.431,18.154,1.54,7.9,0.001,9.46,0.021,0.007,0.057
191,SJA4484000,2018,1.65,0.33,443093075.0,22.415,0.522,0.048,24.9,0.022,0.054,0.016,545.729,2.873,59.431,18.154,1.54,7.9,0.001,9.46,0.021,0.007,0.057
192,SJA4484000,2019,1.605,0.33,443093075.0,22.415,0.522,0.048,24.9,0.022,0.054,0.016,720.253,2.873,59.431,18.154,1.54,7.9,0.001,9.46,0.021,0.007,0.057
193,SJA4484000,2020,1.642,0.33,443093075.0,22.415,0.522,0.048,24.9,0.022,0.054,0.016,781.237,2.873,59.431,18.154,1.54,7.9,0.001,9.46,0.021,0.007,0.057
194,SJA4524000,2019,1.765,0.103,126960925.0,24.216,0.755,0.032,58.645,1.0,0.045,0.016,842.021,2.401,61.609,14.175,0.922,9.332,0.0,9.452,0.01,0.003,0.082
195,SJA4558000,2017,1.23,0.362,174239625.0,17.908,0.413,0.08,36.636,0.0,0.805,0.038,877.237,3.901,68.856,13.236,2.392,5.923,0.001,9.324,0.072,0.02,0.015
