obs_id,site_code,obs_year,obs_value,arable_prop,area,clay1_mean,forest_prop,grassland_prop,k1_mean,limestone_prop,livestock_density,other_prop,precip_mean,rock1_mean,sand1_mean,silt1_mean,slope_mean,soc1_mean,stream_density,twi_mean,urban_prop,water_prop,wetland_prop
276,SJA6896000,2019,3.422,0.333,635699625.0,24.523,0.424,0.062,28.387,0.831,0.115,0.025,841.486,4.484,55.146,20.332,1.133,9.976,0.0,9.721,0.048,0.006,0.102
277,SJA6896000,2020,3.475,0.333,635699625.0,24.523,0.424,0.062,28.387,0.831,0.115,0.025,851.912,4.484,55.146,20.332,1.133,9.976,0.0,9.721,0.048,0.006,0.102
278,SJA7082000,2019,2.355,0.142,49715425.0,15.479,0.734,0.088,84.586,0.618,0.067,0.022,804.115,10.91,74.76,9.761,1.171,7.615,0.001,9.74,0.012,0.001,0.001
279,SJA7082000,2020,1.48,0.142,49715425.0,15.479,0.734,0.088,84.586,0.618,0.067,0.022,808.78,10.91,74.76,9.761,1.171,7.615,0.001,9.74,0.012,0.001,0.001
280,SJA7093000,2016,2.09,0.172,177863500.0,21.53,0.77,0.019,46.876,0.997,0.001,0.008,791.468,1.087,63.119,15.35,0.969,7.832,0.001,9.763,0.005,0.001,0.023
281,SJA7093000,2017,2.545,0.172,177863500.0,21.53,0.77,0.019,46.876,0.997,0.001,0.008,854.001,1.087,63.119,15.35,0.969,7.832,0.001,9.763,0.005,0.001,0.023
282,SJA7093000,2018,1.735,0.172,177863500.0,21.53,0.77,0.019,46.876,0.997,0.001,0.008,555.521,1.087,63.119,15.35,0.969,7.832,0.001,9.763,0.005,0.001,0.023
283,SJA7093000,2019,1.978,0.172,177863500.0,21.53,0.77,0.019,46.876,0.997,0.001,0.008,759.909,1.087,63.119,15.35,0.969,7.832,0.001,9.763,0.005,0.001,0.023
284,SJA7093000,2020,2.38,0.172,177863500.0,21.53,0.77,0.019,46.876,0.997,0.001,0.008,829.961,1.087,63.119,15.35,0.969,7.832,0.001,9.763,0.005,0.001,0.023
285,SJA7164000,2016,1.287,0.302,1139778225.0,19.702,0.493,0.063,50.862,0.033,0.055,0.027,873.951,2.739,67.9,12.398,2.711,7.731,0.001,8.797,0.036,0.023,0.056
286,SJA7164000,2017,1.056,0.302,1139778225.0,19.702,0.493,0.063,50.862,0.033,0.055,0.027,845.214,2.739,67.9,12.398,2.711,7.731,0.001,8.797,0.036,0.023,0.056
287,SJA7164000,2018,0.956,0.302,1139778225.0,19.702,0.493,0.063,50.862,0.033,0.055,0.027,591.801,2.739,67.9,12.398,2.711,7.731,0.001,8.797,0.036,0.023,0.056
288,SJA7164000,2019,0.938,0.302,1139778225.0,19.702,0.493,0.063,50.862,0.033,0.055,0.027,741.25,2.739,67.9,12.398,2.711,7.731,0.001,8.797,0.036,0.023,0.056
289,SJA7164000,2020,0.974,0.302,1139778225.0,19.702,0.493,0.063,50.862,0.033,0.055,0.027,723.797,2.739,67.9,12.398,2.711,7.731,0.001,8.797,0.036,0.023,0.056
290,SJA7167000,2017,1.425,0.081,106078450.0,27.44,0.76,0.022,30.181,0.55,0.024,0.012,878.616,1.096,54.809,17.75,0.793,10.708,0.001,9.49,0.014,0.003,0.108
291,SJA7233000,2017,1.925,0.218,98081775.0,17.407,0.712,0.012,89.952,1.0,0.026,0.005,702.09,1.537,75.489,7.104,0.863,7.546,0.0,9.409,0.009,0.008,0.036
292,SJA7299000,2016,3.025,0.434,102358375.0,17.058,0.441,0.055,39.633,0.0,0.148,0.021,826.24,3.59,69.264,13.678,1.617,5.394,0.001,9.185,0.037,0.004,0.007
293,SJA7333000,2020,3.225,0.269,120468750.0,23.901,0.504,0.111,45.544,0.784,0.051,0.022,763.617,5.944,60.618,15.481,1.419,10.3,0.001,9.821,0.018,0.004,0.073
